D. 6, d.a.c. 1
D. 12, d.a.c. 1
D. 14, d.a.c. 1
D. 15, d.p.c. 1
D. 15, d.p.c. 2
D. 16, d.p.c. 1
D. 16, d.p.c. 8
D. 16, d.p.c. 11
D. 16, d.p.c. 13
D. 17, d.p.c. 6
D. 17, d.p.c. 7
D. 18, d.a.c. 1
D. 18, d.p.c. 1
D. 18, d.p.c. 16
D. 19, d.p.c. 9
D. 23, d.p.c. 6
D. 23, d.p.c. 8
D. 23, d.p.c. 9
D. 23, d.p.c. 11
D. 23, d.a.c. 14
D. 23, d.p.c. 20
D. 23, d.p.c. 24
D. 25, d.p.c. 2
D. 25, d.p.c. 5
D. 27, d.p.c. 3
D. 29, d.p.c. 1
D. 32, d.p.c. 6
D. 32, d.p.c. 11
D. 32, d.p.c. 18
D. 33, d.p.c. 6
D. 34, d.a.c. 1
D. 34, d.p.c. 7
D. 34, d.p.c. 15
D. 34, d.p.c. 18
D. 38, d.p.c. 11
D. 42, d.p.c. 2
D. 45, d.p.c. 4
D. 45, d.p.c. 11
D. 46, d.p.c. 2
D. 47, d.p.c. 2
D. 50, d.p.c. 13
D. 50, d.p.c. 33
D. 50, d.p.c. 34
D. 50, d.p.c. 38
D. 50, d.p.c. 45
D. 50, d.p.c. 47
D. 50, d.p.c. 65
D. 50, d.p.c. 68
D. 52, d.a.c. 1
D. 54, d.p.c. 12
D. 54, d.p.c. 14
D. 54, d.p.c. 22
D. 55, d.p.c. 5
D. 56, d.p.c. 9
D. 56, d.p.c. 10
D. 61, d.p.c. 18
D. 62, d.p.c. 2
D. 63, d.a.c. 1
D. 65, d.a.c. 1
D. 65, d.p.c. 3
D. 65, d.p.c. 7
D. 67, d.p.c. 1
D. 68, d.p.c. 1
D. 68, d.p.c. 5
D. 70, d.p.c. 2
D. 72, d.a.c. 1
D. 73, d.a.c. 1
D. 74, d.p.c. 2
D. 75, d.p.c. 1
D. 76, d.a.c. 1
D. 76, d.p.c. 3
D. 76, d.p.c. 6
D. 76, d.p.c. 7
D. 76, d.p.c. 8
D. 76, d.p.c. 9
D. 77, d.p.c. 1
D. 78, d.a.c. 1
D. 78, d.p.c. 4
D. 80, d.p.c. 5
D. 82, d.a.c. 1
D. 83, d.p.c. 5
D. 84, d.a.c. 1
D. 84, d.p.c. 5
D. 86, d.p.c. 3
D. 86, d.p.c. 6
D. 86, d.p.c. 24
D. 87, d.a.c. 1
D. 88, d.a.c. 1
D. 89, d.p.c. 2
D. 89, d.p.c. 5
D. 89, d.p.c. 6
D. 92, d.a.c. 1
D. 92, d.p.c. 1
D. 93, d.p.c. 3
D. 93, d.p.c. 20
D. 94, d.a.c. 1
D. 94, d.p.c. 1
D. 95, d.p.c. 1
D. 95, d.p.c. 2
D. 95, d.p.c. 3
D. 96, d.p.c. 1
D. 97, d.p.c. 2
D. 99, d.p.c. 3
D. 100, d.p.c. 3
D. 100, d.p.c. 8
D. 101, d.a.c. 1
